Longitude;Latitude;Name;Speed;Course;Time
14.16763095;57.78499663;Punkt 101;0;6;0
14.17137233;57.80454306;Punkt 102;3;17;20
14.21799578;57.88340855;Punkt 103;10;20;20
14.26993913;57.96039742;Punkt 104;10;18;20
14.28170352;57.97956314;Punkt 105;3;4;20
14.284389;57.99977672;Punkt 106;3;0;20
14.28440556;57.99978204;Punkt 107;0;0;60
14.28439519;57.99977209;Punkt 108;0;259;60
14.24894667;57.99618211;Punkt 109;3;296;20
14.21608475;58.00461617;Punkt 110;3;312;20
14.18783958;58.01790983;Punkt 111;3;306;20
14.17682227;58.02206784;Punkt 112;0;0;20
14.17685778;58.02206122;Punkt 113;0;0;60
14.17682662;58.02205894;Punkt 114;0;0;60
14.17684125;58.02206116;Punkt 115;0;39;60
14.20042012;58.03730156;Punkt 116;3;37;20
14.29308839;58.10179626;Punkt 117;10;18;20
14.3418899;58.18119916;Punkt 118;10;355;20
14.3286809;58.26296054;Punkt 119;10;389;20
14.31407533;58.28325137;Punkt 120;3;333;20
14.29552178;58.30267387;Punkt 121;0;0;20
14.295521;58.302673;Punkt 122;0;67;60
14.44070963;58.33532599;Punkt 123;10;82;20
14.47868555;58.33788044;Punkt 124;3;49;20
14.49293948;58.34445949;Punkt 125;1.5;35;20
14.50391669;58.35273123;Punkt 126;1.5;357;20
14.50294301;58.36279242;Punkt 127;1.5;356;20
14.50151414;58.37284027;Punkt 128;1.5;354;20
14.49945916;58.38279366;Punkt 129;1.5;84;20
14.51759665;58.38383484;Punkt 130;1.5;176;20
14.51901177;58.37391388;Punkt 131;1.5;176;20
14.52019859;58.3639431;Punkt 132;1.5;176;20
14.52143206;58.35384007;Punkt 133;1.5;174;20
14.52327241;58.34381782;Punkt 134;1.5;177;20
14.52429234;58.33400327;Punkt 135;1.5;186;20
14.49186835;58.17079275;Punkt 136;20;200;20
14.38745236;58.0172567;Punkt 137;20;209;20
14.23867227;57.87478212;Punkt 138;20;202;20
14.18011497;57.79961153;Punkt 139;10;204;20
14.16777424;57.78490589;Punkt 140;3;0;20
