Longitude;Latitude;Name;Speed;Course;Time
17.5365725666718;59.554668245394;Punkt 801;0;175;0
17.5400004822996;59.5355794741042;Punkt 802;3;239;20
17.5055712056142;59.5248905395348;Punkt 803;3;223;20
17.4793338433372;59.5101370223843;Punkt 804;3;194;20
17.438311942904;59.4311420207477;Punkt 805;10;217;20
17.3417391046391;59.3650439277311;Punkt 806;10;172;20
17.3441740435887;59.3551048439689;Punkt 807;1.5;82;20
17.3637221788649;59.3563292202645;Punkt 808;1.5;204;20
17.3554337307436;59.3473655269486;Punkt 809;1.5;357;20
17.3547951853745;59.3575564334495;Punkt 810;1.5;357;20
17.3540795317025;59.3679790322398;Punkt 811;1.5;130;20
17.3699306907262;59.3614951922403;Punkt 812;1.5;125;20
17.3862502768648;59.355710051168;Punkt 813;1.5;210;20
17.3476170919781;59.3216585257963;Punkt 814;6;208;20
17.3120053396915;59.2873840610835;Punkt 815;6;181;20
17.3112677586687;59.2677008342018;Punkt 816;3;234;20
17.2826415818708;59.2569234012581;Punkt 817;3;274;20
17.2461340780763;59.2580686638309;Punkt 818;3;263;20
17.225978103729;59.2567887309941;Punkt 819;0;0;10
