Longitude;Latitude;Name;Speed;Course;Time
11.6647;57.674;Punkt A00601;0;0;0
11.6647;57.674;Punkt A00602;0;0;16
11.6647;57.674;Punkt A00603;0;0;12
11.6647;57.674;Punkt A00604;0;0;2
11.6647;57.674;Punkt A00605;0;0;4
11.6647;57.674;Punkt A00606;0;0;10
11.6747;57.6767;Punkt A00607;7.40604751626269;98;14
11.6893;57.6413;Punkt A00608;9.99136069123104;175;16
11.682;57.604;Punkt A00609;9.1943844493235;186;14
11.6767;57.5687;Punkt A00610;9.40820734349382;175;14
11.686;57.53;Punkt A00611;9.40820734349382;177;14
11.6573;57.5;Punkt A00612;8.00863930892449;240;14
11.6053;57.4913;Punkt A00613;8.00863930892449;212;14
11.5987;57.464;Punkt A00614;9.40820734349382;75;16
11.64;57.4867;Punkt A00615;9.60259179273956;102;14
11.6287;57.4773;Punkt A00616;8.80561555083202;109;14
11.6487;57.4487;Punkt A00617;9.40820734349382;161;14
11.6907;57.4207;Punkt A00618;9.1943844493235;164;16
11.714;57.386;Punkt A00619;9.1943844493235;162;14
11.7373;57.352;Punkt A00620;8.80561555083202;163;14
11.7533;57.3167;Punkt A00621;9.1943844493235;171;14
11.7753;57.286;Punkt A00622;8.80561555083202;87;14
11.754;57.308;Punkt A00623;9.00000000007776;312;14
11.7713;57.2967;Punkt A00624;9.1943844493235;125;16
11.774;57.2913;Punkt A00625;8.00863930892449;303;14
11.7927;57.2953;Punkt A00626;8.80561555083202;100;14
11.8567;57.288;Punkt A00627;9.1943844493235;107;14
11.92;57.2947;Punkt A00628;9.1943844493235;77;16
11.9847;57.2847;Punkt A00629;8.80561555083202;85;14
12.0187;57.2733;Punkt A00630;9.1943844493235;182;14
12.02;57.2373;Punkt A00631;9.00000000007776;178;14
12.0253;57.2;Punkt A00632;9.1943844493235;179;14
12.0267;57.1633;Punkt A00633;9.00000000007776;180;14
12.0193;57.1273;Punkt A00634;9.00000000007776;193;16
12.03;57.0907;Punkt A00635;9.40820734349382;159;14
12.0707;57.058;Punkt A00636;9.60259179273956;137;14
12.116;57.03;Punkt A00637;9.40820734349382;142;14
12.176;57.0247;Punkt A00638;9.40820734349382;139;16
12.2567;56.966;Punkt A00639;9.1943844493235;165;28
12.2527;56.9293;Punkt A00640;9.1943844493235;212;14
12.1507;56.9;Punkt A00641;8.59179265666171;266;30
12.1047;56.8853;Punkt A00642;8.00863930892449;225;14
12.0587;56.8847;Punkt A00643;6.60907127435516;289;14
12.008;56.8867;Punkt A00644;6.39524838018485;268;14
11.958;56.8867;Punkt A00645;7.60043196550843;275;14
11.976;56.9073;Punkt A00646;7.19222462209238;19;14
11.992;56.934;Punkt A00647;7.19222462209238;12;16
12.0067;56.9613;Punkt A00648;7.19222462209238;15;14
12.0253;56.9887;Punkt A00649;7.40604751626269;25;14
12.058;57.012;Punkt A00650;7.60043196550843;44;14
12.1113;57.026;Punkt A00651;8.20302375817023;64;14
12.1527;57.0393;Punkt A00652;7.40604751626269;298;16
12.1093;57.0493;Punkt A00653;8.20302375817023;250;14
12.0687;57.062;Punkt A00654;7.19222462209238;337;14
12.0573;57.0887;Punkt A00655;6.39524838018485;327;14
12.024;57.1087;Punkt A00656;6.99784017284664;313;14
12.074;57.104;Punkt A00657;9.40820734349382;140;22
12.1067;57.0833;Punkt A00658;9.40820734349382;155;10
12.1253;57.056;Punkt A00659;9.40820734349382;163;12
12.104;57.0393;Punkt A00660;7.40604751626269;295;14
12.06;57.0567;Punkt A00661;7.40604751626269;311;16
12.03;57.08;Punkt A00662;7.79481641475417;345;14
12.016;57.0987;Punkt A00663;2.79913606913866;347;14
12.032;57.0933;Punkt A00664;3.59611231104619;112;8
12.0427;57.0913;Punkt A00665;3.59611231104619;116;8
12.05;57.0873;Punkt A00666;0;141;4
12.0773;57.074;Punkt A00667;3.59611231104619;146;20
12.08;57.0713;Punkt A00668;3.59611231104619;150;4
12.082;57.0693;Punkt A00669;3.59611231104619;151;2
12.088;57.058;Punkt A00670;3.40172786180045;176;12
12.0893;57.0433;Punkt A00671;2.9935205183844;192;14
12.0847;57.0507;Punkt A00672;2.9935205183844;19;14
12.09;57.0633;Punkt A00673;3.20734341255471;41;14
12.0867;57.076;Punkt A00674;3.40172786180045;321;16
12.068;57.0847;Punkt A00675;3.20734341255471;316;14
12.0507;57.0933;Punkt A00676;3.20734341255471;315;14
12.0267;57.094;Punkt A00677;4.99568034561552;209;14
12.0487;57.078;Punkt A00678;3.59611231104619;99;18
12.068;57.0773;Punkt A00679;3.59611231104619;92;12
12.08;57.0767;Punkt A00680;3.40172786180045;109;6
12.0893;57.0727;Punkt A00681;3.40172786180045;141;6
12.0913;57.0713;Punkt A00682;3.59611231104619;142;2
12.0993;57.0593;Punkt A00683;3.59611231104619;184;14
12.0927;57.0453;Punkt A00684;3.40172786180045;240;14
