Longitude;Latitude;Name;Speed;Course;Time
12.3527;56.9293;Punkt B00401;0;171;0
12.1993;56.806;Punkt B00402;2.390928726;171;120
12.1667;56.7707;Punkt B00403;2.390928726;173;60
12.1407;56.7333;Punkt B00404;2.196544276;166;60
12.148;56.694;Punkt B00405;2.196544276;180;60
12.1887;56.6607;Punkt B00406;2.60475162;175;60
12.174;56.626;Punkt B00407;2.60475162;173;60
12.1347;56.6613;Punkt B00408;2.799136069;190;60
12.066;56.6727;Punkt B00409;0.602591793;150;60
12.064;56.6547;Punkt B00410;6.997840173;165;60
12.0367;56.6273;Punkt B00411;2.60475162;282;60
12.078;56.6127;Punkt B00412;2.799136069;2;60
12.04;56.6167;Punkt B00413;2.390928726;41;60
12.0687;56.6227;Punkt B00414;2.799136069;152;60
12.0453;56.6287;Punkt B00415;2.799136069;269;60
12.032;56.6213;Punkt B00416;2.993520518;31;60
12.0393;56.6187;Punkt B00417;0.194384449;166;60
12.1313;56.7147;Punkt B00418;6.997840173;336;60
12.238;56.816;Punkt B00419;6.803455724;6;60
12.3307;56.9233;Punkt B00420;7.600431966;161;60
12.3527;56.9293;Punkt B00421;0;164;60
12.3527;56.9293;Punkt B00422;0;288;60
12.3527;56.9293;Punkt B00423;0;357;60
12.3527;56.9293;Punkt B00424;0;97;60
