Longitude;Latitude;Name;Speed;Course;Time
12.31791748;58.38506387;Punkt 301;0;29;0
12.33639193;58.40265239;Punkt 302;3;51;20
12.45812745;58.45386544;Punkt 303;10;41;20
12.66434289;58.57754744;Punkt 304;20;37;20
12.75884983;58.64326539;Punkt 305;10;7;20
12.76067226;58.65153228;Punkt 306;1;6;30
12.76227574;58.65986858;Punkt 307;1;359;30
12.7619644;58.66831829;Punkt 308;1;358;30
12.76195975;58.6765816;Punkt 309;1;358;30
12.76168073;58.68482792;Punkt 310;1;86;30
12.77771308;58.68535535;Punkt 311;1;179;30
12.7784755;58.67719427;Punkt 312;1;178;30
12.778878;58.66903483;Punkt 313;1;177;30
12.77946691;58.66074403;Punkt 314;1;178;30
12.78036662;58.65253167;Punkt 315;1;174;30
12.78170954;58.64437697;Punkt 316;1;88;30
12.79763474;58.64473487;Punkt 317;1;0;30
12.79771016;58.65305834;Punkt 318;1;0;30
12.79761046;58.66137972;Punkt 319;1;359;30
12.79731767;58.66968588;Punkt 320;1;2;30
12.79779344;58.67796369;Punkt 321;1;0;30
12.79765827;58.68631475;Punkt 322;1;1;30
12.80332969;58.85119967;Punkt 323;20;0;20
12.80457561;59.01647115;Punkt 324;20;302;20
12.77190958;59.0270861;Punkt 325;3;306;20
12.74009746;59.0386683;Punkt 326;3;308;20
12.71181776;59.05019451;Punkt 327;3;0;20
12.71183176;59.05019311;Punkt 328;0;0;60
12.71182596;59.05018749;Punkt 329;0;0;120
12.71182507;59.05018507;Punkt 330;0;0;120
12.71181776;59.05019451;Punkt 331;0;74;120
12.72738522;59.05248662;Punkt 332;1;154;30
12.74447974;59.03485657;Punkt 333;3;138;20
12.96093442;58.9112513;Punkt 334;20;147;20
13.13482842;58.77250027;Punkt 335;20;43;20
13.35278616;58.89395658;Punkt 336;20;26;20
13.49637236;59.0440169;Punkt 337;20;20;20
13.60903441;59.19922854;Punkt 338;20;18;20
13.65887512;59.27735133;Punkt 339;10;340;20
13.60425895;59.35499621;Punkt 340;10;289;20
13.56803703;59.36130671;Punkt 341;3;237;20
13.55352735;59.35663824;Punkt 342;1;277;30
13.53721037;59.35768811;Punkt 343;1;321;30
13.52686472;59.36417128;Punkt 344;1;300;30
13.5176694;59.36703399;Punkt 345;1;0;20
13.51767304;59.36706195;Punkt 346;0;0;60
13.517679;59.36704874;Punkt 347;0;123;60
13.54889247;59.35676541;Punkt 348;3;95;20
13.58894652;59.35474019;Punkt 349;3;121;20
13.72916343;59.31263636;Punkt 350;10;164;20
13.81391523;59.15592425;Punkt 351;20;172;20
13.86258744;58.99313066;Punkt 352;20;164;20
13.90649783;58.91271002;Punkt 353;10;185;20
13.89193402;58.83088761;Punkt 354;10;205;20
13.8762616;58.81265605;Punkt 355;3;204;20
13.86018171;58.79457703;Punkt 356;3;184;20
13.85771574;58.77554652;Punkt 357;3;197;20
13.84718769;58.75603328;Punkt 358;3;195;20
13.83741952;58.73701066;Punkt 359;3;200;20
13.82370637;58.71799979;Punkt 360;3;0;20
13.82370637;58.71799979;Punkt 361;0;0;60
13.82370637;58.71799979;Punkt 362;0;0;60
13.82370637;58.71799979;Punkt 363;0;0;60
13.82370637;58.71799979;Punkt 364;0;0;60
13.82370637;58.71799979;Punkt 365;0;299;60
13.78922996;58.72809058;Punkt 366;3;255;20
13.63475649;58.70698151;Punkt 367;10;280;20
13.32437738;58.73664457;Punkt 368;20;261;20
13.01660124;58.71175084;Punkt 369;20;224;20
12.79677888;58.59247056;Punkt 370;20;229;20
12.55793476;58.48434135;Punkt 371;20;232;20
12.43327498;58.43317197;Punkt 372;10;231;20
12.31800842;58.38502114;Punkt 373;9;0;20
12.31800842;58.38502114;Punkt 374;0;0;60
12.31800842;58.38502114;Punkt 375;0;0;60
