Longitude;Latitude;Name;Speed;Course;Time
12.2713;57.0587;Punkt A00501;0;0;0
12.232;57.0467;Punkt A00502;9.60259179273956;183;14
12.2473;57.004;Punkt A00503;11.1965442765546;163;14
12.274;56.9607;Punkt A00504;11.3909287258004;163;16
12.2987;56.9167;Punkt A00505;11.3909287258004;165;14
12.3233;56.874;Punkt A00506;11.3909287258004;162;14
12.3487;56.8313;Punkt A00507;11.1965442765546;165;14
12.374;56.788;Punkt A00508;11.0021598273089;159;14
12.4013;56.746;Punkt A00509;-1.9438444924574;-1;16
12.4267;56.7027;Punkt A00510;11.1965442765546;160;14
12.468;56.6653;Punkt A00511;11.1965442765546;149;14
12.514;56.6253;Punkt A00512;11.3909287258004;150;14
12.5507;56.5853;Punkt A00513;12.2073434126325;164;14
12.5727;56.5387;Punkt A00514;11.3909287258004;166;14
12.578;56.506;Punkt A00515;11.1965442765546;200;12
12.5687;56.4947;Punkt A00516;11.0021598273089;206;4
12.5547;56.482;Punkt A00517;11.0021598273089;213;4
12.5287;56.4567;Punkt A00518;10.8077753780631;209;10
12.4933;56.4187;Punkt A00519;11.3909287258004;200;14
12.4873;56.4093;Punkt A00520;11.0021598273089;177;4
12.532;56.384;Punkt A00521;11.6047516199707;132;10
12.5673;56.3453;Punkt A00522;11.1965442765546;191;16
12.5033;56.322;Punkt A00523;10.2051835854014;250;14
12.4347;56.3087;Punkt A00524;-1.9438444924574;-1;14
12.4213;56.3;Punkt A00525;-1.9438444924574;-1;4
12.4127;56.2893;Punkt A00526;8.80561555083202;203;6
12.406;56.278;Punkt A00527;8.59179265666171;198;4
12.362;56.2567;Punkt A00528;9.7969762419853;212;14
12.3547;56.2513;Punkt A00529;8.80561555083202;32;16
12.3753;56.2793;Punkt A00530;2.9935205183844;15;14
12.3767;56.282;Punkt A00531;0;17;14
12.3733;56.2733;Punkt A00532;3.40172786180045;202;14
12.366;56.2607;Punkt A00533;3.20734341255471;198;14
12.354;56.2487;Punkt A00534;0;209;14
12.35;56.2447;Punkt A00535;0;209;6
12.34;56.2353;Punkt A00536;3.59611231104619;211;10
12.336;56.232;Punkt A00537;3.40172786180045;211;4
12.328;56.2247;Punkt A00538;6.99784017284664;313;10
12.324;56.22;Punkt A00539;3.20734341255471;202;4
12.318;56.2113;Punkt A00540;3.59611231104619;203;10
12.3047;56.1993;Punkt A00541;3.59611231104619;223;14
12.294;56.194;Punkt A00542;3.79049676029193;233;8
12.2813;56.19;Punkt A00543;-1.9438444924574;-1;6
12.268;56.1893;Punkt A00544;4.39308855295372;282;8
12.2513;56.192;Punkt A00545;4.00431965446224;285;8
12.2227;56.1973;Punkt A00546;4.19870410370798;291;14
12.194;56.2033;Punkt A00547;3.79049676029193;291;14
12.2047;56.212;Punkt A00548;3.40172786180045;93;14
12.228;56.2127;Punkt A00549;3.40172786180045;86;14
12.2527;56.214;Punkt A00550;3.40172786180045;76;16
12.2773;56.2167;Punkt A00551;3.40172786180045;71;14
12.2993;56.2227;Punkt A00552;3.40172786180045;60;14
12.318;56.2333;Punkt A00553;3.59611231104619;42;14
12.334;56.2447;Punkt A00554;4.00431965446224;344;16
12.3207;56.246;Punkt A00555;3.40172786180045;234;8
12.2747;56.23;Punkt A00556;-1.9438444924574;-1;30
12.2487;56.2227;Punkt A00557;3.79049676029193;248;16
12.2353;56.2173;Punkt A00558;2.9935205183844;194;10
12.2413;56.2127;Punkt A00559;2.9935205183844;143;8
12.2607;56.2067;Punkt A00560;3.20734341255471;119;14
12.2807;56.2007;Punkt A00561;3.20734341255471;117;14
12.3007;56.1947;Punkt A00562;2.9935205183844;113;14
12.3233;56.19;Punkt A00563;3.40172786180045;109;14
